ethnicity,race,adams,allen,bartholomew,benton,blackford,boone,brown,carroll,cass,clark,clay,clinton,crawford,daviess,dearborn,decatur,dekalb,delaware,dubois,elkhart,fayette,floyd,fountain,franklin,fulton,gibson,grant,greene,hamilton,hancock,harrison,hendricks,henry,howard,huntington,jackson,jasper,jay,jefferson,jennings,johnson,knox,kosciusko,lagrange,lake,laporte,lawrence,madison,marion,marshall,martin,miami,monroe,montgomery,morgan,newton,noble,ohio,orange,owen,parke,perry,pike,porter,posey,pulaski,putnam,randolph,ripley,rush,st. joseph,scott,shelby,spencer,starke,steuben,sullivan,switzerland,tippecanoe,tipton,union,vanderburgh,vermillion,vigo,wabash,warren,warrick,washington,wayne,wells,white,whitley
tsimshian,native american,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yup'ik,native american,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mexican,hispanic,1385,18945,4431,431,184,1080,164,522,3614,4868,191,4650,99,1000,396,446,887,1654,1569,24764,165,1572,328,133,827,377,2433,304,7312,1455,403,2979,636,1929,569,2268,1556,489,456,483,3311,537,5587,1418,69498,5216,626,3647,66103,3514,24,537,2721,1571,563,688,4678,5911,232,160,99,127,46,10695,112,327,539,512,439,170,18033,313,1390,502,671,933,212,17,11626,227,0,3676,36,1933,646,119,845,250,1256,454,934,406
puerto rican,hispanic,24,1972,195,0,0,100,14,27,170,380,46,85,30,121,27,5,127,406,1,1660,56,246,26,87,0,50,159,65,1018,0,72,378,91,93,52,168,224,0,381,0,574,68,114,10,14097,957,5,448,5589,237,3,121,605,72,43,0,33,5853,0,21,70,0,0,3597,102,20,137,29,44,0,1322,19,38,13,64,117,18,52,529,0,1,339,130,263,19,2,59,11,327,35,48,26
cuban,hispanic,0,437,13,0,0,0,0,15,58,128,0,0,14,0,0,0,23,22,129,57,0,94,0,0,0,0,4,14,415,31,69,133,0,50,16,0,0,0,0,0,45,5,48,32,772,136,0,12,1601,231,0,0,193,0,99,0,0,58,0,48,0,16,0,262,0,5,34,13,0,0,359,0,11,0,0,18,0,79,369,0,0,81,2,105,10,0,39,0,9,0,0,0
dominican,hispanic,16,89,0,0,0,17,0,3,4,99,0,2,0,0,0,27,0,46,0,324,0,31,0,0,0,2,9,0,81,0,0,187,0,18,0,0,5,0,0,14,0,6,0,0,172,96,0,9,1289,56,0,21,5,0,0,0,0,11,0,0,0,0,0,192,0,0,9,0,0,0,46,0,0,0,0,0,9,0,104,0,0,3,0,43,0,0,0,4,3,58,0,0
costa rican,hispanic,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269,0,0,0,0,0,10,0,0,0,4,0,175,12,0,8,0,0,0,0,0,0,0,20,0,16,44,0,48,108,13,0,0,21,0,39,0,0,29,0,0,0,0,15,0,0,0,0,0,0,0,12,0,9,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,48,0,0,0
guatemalan,hispanic,0,1911,103,7,0,22,16,41,822,61,0,59,0,14,43,0,1,71,153,242,0,8,0,0,0,4,0,0,392,0,45,275,23,114,0,135,9,0,0,0,186,20,34,0,397,27,0,90,2828,0,0,17,38,0,16,0,0,0,48,0,0,27,0,86,0,0,0,0,0,0,172,0,0,75,0,68,25,0,213,0,0,31,0,62,16,0,91,5,4,0,9,15
honduran,hispanic,27,87,153,0,0,0,0,0,67,64,0,18,0,76,0,0,0,29,0,617,0,0,0,0,173,0,29,0,218,0,55,76,11,87,0,20,0,0,0,0,246,0,59,0,425,0,0,11,4883,202,0,2,23,0,0,0,0,0,0,0,0,0,0,59,0,0,27,0,6,0,105,0,0,0,15,6,19,0,160,0,0,14,0,83,0,0,26,0,0,88,10,0
nicaraguan,hispanic,0,89,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,18,59,20,0,0,16,0,0,29,0,0,265,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,242,11,0,20,888,11,0,29,62,0,124,0,0,7,0,0,0,0,0,27,0,0,0,0,0,0,79,0,22,0,25,0,0,0,67,0,0,101,0,0,0,0,0,0,0,0,0,0
